,state,date,val
0,ak,2022-05-11,4969.0
1,ak,2022-05-18,2776.0
2,al,2022-05-10,18962.0
3,al,2022-05-17,20246.0
4,ar,2022-05-05,17452.0
5,ar,2022-06-01,12052.0
6,as,2022-05-04,1083.0
7,as,2022-05-11,462.0
8,az,2022-05-26,70540.0
9,ca,2022-05-11,319435.0
10,ca,2022-05-18,358503.0
11,co,2022-06-01,49268.0
12,ct,2022-05-26,41456.0
13,ct,2022-06-01,34291.0
14,dc,2022-05-02,44090.5
15,dc,2022-05-03,73363.0
16,de,2022-05-04,10689.0
17,fl,2022-05-10,157550.0
18,ga,2022-06-01,54702.0
19,gu,2022-05-06,2455.0
20,gu,2022-05-11,3364.0
21,hi,2022-05-19,14431.0
22,ia,2022-06-01,19678.0
23,id,2022-05-06,25838.0
24,id,2022-05-13,12408.0
25,il,2022-05-20,2552.0
26,il,2022-05-27,169244.0
27,in,2022-05-26,104404.0
28,ks,2022-06-01,16839.0
29,ky,2022-05-25,25406.0
30,ma,2022-05-13,84136.0
31,ma,2022-05-20,81390.0
32,mi,2022-05-24,76925.0
33,mn,2022-05-25,71706.0
34,mo,2022-05-04,35499.0
35,ms,2022-05-27,11687.0
36,mt,2022-05-17,3782.0
37,mt,2022-05-27,10305.0
38,nd,2022-05-05,33452.0
39,nd,2022-05-12,3132.0
40,ne,2022-05-24,19844.0
41,nj,2022-05-13,76205.0
42,nm,2022-05-12,26453.0
43,nm,2022-05-13,21449.0
44,ny,2022-05-10,156044.0
45,oh,2022-05-12,149625.0
46,oh,2022-05-19,78526.0
47,ok,2022-06-01,19294.0
48,or,2022-06-01,38646.0
49,pa,2022-05-04,126842.0
50,pr,2022-05-06,26794.0
51,ri,2022-06-01,10101.0
52,sc,2022-05-10,29232.0
53,tn,2022-06-01,35158.0
54,tx,2022-05-02,389551.0
55,tx,2022-05-03,206990.0
56,ut,2022-05-06,7416.0
57,ut,2022-05-10,31903.0
58,ut,2022-05-17,658.0
59,va,2022-06-01,73511.0
60,vt,2022-05-24,8443.0
61,wa,2022-06-01,71220.0
62,wi,2022-05-10,54082.0
63,wi,2022-05-17,53399.0
64,wv,2022-05-18,12234.0
65,wv,2022-05-25,8767.0
66,wy,2022-06-01,2491.0
