,date,state,val
103,2022-06-15,tx,0.0007142857142857143
94,2022-06-15,oh,0.002142857142857143
86,2022-06-15,nc,0.002857142857142857
82,2022-06-15,mo,0.0035714285714285713
74,2022-06-15,ks,0.0035714285714285713
93,2022-06-15,ny,0.0035714285714285713
98,2022-06-15,pr,0.0035714285714285713
102,2022-06-15,tn,0.004285714285714286
89,2022-06-15,nh,0.012142857142857143
5,2022-06-14,ca,0.014285714285714285
47,2022-06-14,tx,0.020714285714285713
37,2022-06-14,ny,0.02214285714285714
41,2022-06-14,pa,0.023571428571428573
17,2022-06-14,in,0.023571428571428573
56,2022-06-15,ak,0.9828571428571429
87,2022-06-15,nd,0.9828571428571429
101,2022-06-15,sd,0.9864285714285714
107,2022-06-15,vt,0.9885714285714285
84,2022-06-15,ms,0.99
64,2022-06-15,dc,0.9907142857142858
71,2022-06-15,id,0.9907142857142858
99,2022-06-15,ri,0.9914285714285714
104,2022-06-15,ut,0.9921428571428571
85,2022-06-15,mt,0.9942857142857143
110,2022-06-15,wv,0.9942857142857143
58,2022-06-15,ar,0.9942857142857143
69,2022-06-15,hi,0.9978571428571429
79,2022-06-15,me,0.9985714285714286
88,2022-06-15,ne,0.9985714285714286
95,2022-06-15,ok,0.9992857142857143
92,2022-06-15,nv,0.9992857142857143
70,2022-06-15,ia,0.9992857142857143
76,2022-06-15,la,0.9992857142857143
75,2022-06-15,ky,0.9992857142857143
100,2022-06-15,sc,1.0
60,2022-06-15,az,1.0
61,2022-06-15,ca,1.0
105,2022-06-15,va,1.0
57,2022-06-15,al,1.0
62,2022-06-15,co,1.0
108,2022-06-15,wa,1.0
63,2022-06-15,ct,1.0
80,2022-06-15,mi,1.0
97,2022-06-15,pa,1.0
96,2022-06-15,or,1.0
67,2022-06-15,ga,1.0
91,2022-06-15,nm,1.0
90,2022-06-15,nj,1.0
73,2022-06-15,in,1.0
77,2022-06-15,ma,1.0
78,2022-06-15,md,1.0
109,2022-06-15,wi,1.0
66,2022-06-15,fl,1.0
81,2022-06-15,mn,1.0
