state,GID_1,state_fips
"ak","USA.2_1","02"
"al","USA.1_1","01"
"ar","USA.4_1","05"
"az","USA.3_1","04"
"ca","USA.5_1","06"
"co","USA.6_1","08"
"ct","USA.7_1","09"
"dc","USA.9_1","11"
"de","USA.8_1","10"
"fl","USA.10_1","12"
"ga","USA.11_1","13"
"hi","USA.12_1","15"
"ia","USA.16_1","19"
"id","USA.13_1","16"
"il","USA.14_1","17"
"in","USA.15_1","18"
"ks","USA.17_1","20"
"ky","USA.18_1","21"
"la","USA.19_1","22"
"ma","USA.22_1","25"
"md","USA.21_1","24"
"me","USA.20_1","23"
"mi","USA.23_1","26"
"mn","USA.24_1","27"
"mo","USA.26_1","29"
"ms","USA.25_1","28"
"mt","USA.27_1","30"
"nc","USA.34_1","37"
"nd","USA.35_1","38"
"ne","USA.28_1","31"
"nh","USA.30_1","33"
"nj","USA.31_1","34"
"nm","USA.32_1","35"
"nv","USA.29_1","32"
"ny","USA.33_1","36"
"oh","USA.36_1","39"
"ok","USA.37_1","40"
"or","USA.38_1","41"
"pa","USA.39_1","42"
"ri","USA.40_1","44"
"sc","USA.41_1","45"
"sd","USA.42_1","46"
"tn","USA.43_1","47"
"tx","USA.44_1","48"
"ut","USA.45_1","49"
"va","USA.47_1","51"
"vt","USA.46_1","50"
"wa","USA.48_1","53"
"wi","USA.50_1","55"
"wv","USA.49_1","54"
"wy","USA.51_1","56"
